35009, Finished Airing, LIDENFILMS, Estudio-nao-listado, Manga, Action, Adventure, Demons, 24-min., R---17+-(violence-&amp;-profanity), 1, 6.13
38768, Finished Airing, TV-Tokyo, Studio-Pierrot, Manga, Comedy, Fantasy, Shounen, 23-min., PG-13---Teens-13-or-older, 1, 6.13
38770, Finished Airing, Shogakukan-Productions, TMS-Entertainment, Manga, Action, Mystery, Comedy, 1-hr.-49-min., PG-13---Teens-13-or-older, 1, 7.86
38819, Finished Airing, Toy's-Factory, Estudio-nao-listado, Original, Action, Cars, Music, 3-min., PG---Children, 1, 5.47
38826, Finished Airing, Toho, Estudio-nao-listado, Original, Drama, Fantasy, Romance, 1-hr.-54-min., PG-13---Teens-13-or-older, 1, 8.57
38889, Currently Airing, Shueisha, Estudio-nao-listado, Manga, Music, Drama, Romance, 23-min.-per-ep., None, 13, 8.15
38917, Finished Airing, Tencent-Animation-&amp;-Comics, Estudio-nao-listado, Web-manga, Comedy, Historical, Drama, 20-min.-per-ep., PG-13---Teens-13-or-older, 16, 8.00
38918, Finished Airing, bilibili, Estudio-nao-listado, Novel, Action, Adventure, Mystery, 26-min.-per-ep., PG-13---Teens-13-or-older, 26, 6.89
38920, Finished Airing, WOWOW, Studio-Deen, Original, Action, Historical, Drama, 23-min.-per-ep., PG-13---Teens-13-or-older, 12, 6.59
38921, Finished Airing, Pony-Canyon, Kyoto-Animation, Light-novel, Sports, Drama, School, 24-min., PG-13---Teens-13-or-older, 1, 7.04
38936, Finished Airing, Magic-Capsule, Estudio-nao-listado, Light-novel, Fantasy, Mystery, Supernatural, 24-min., PG-13---Teens-13-or-older, 1, 7.15
38959, Finished Airing, Aniplex, Aniplex, Light-novel, Fantasy, Mystery, Supernatural, 23-min.-per-ep., R---17+-(violence-&amp;-profanity), 13, 7.41
38972, Finished Airing, Warner-Bros.-Japan, Estudio-nao-listado, Manga, Action, Adventure, Shounen, 23-min.-per-ep., R---17+-(violence-&amp;-profanity), 3, 6.60
38993, Finished Airing, Dentsu, Shin-Ei-Animation, Manga, Comedy, Romance, School, 23-min.-per-ep., PG-13---Teens-13-or-older, 12, 8.35
39022, Finished Airing, bilibili, Estudio-nao-listado, Original, Slice of Life, Historical, Drama, Unknown, PG-13---Teens-13-or-older, 7, 6.20
39024, Finished Airing, Tencent-Penguin-Pictures, Estudio-nao-listado, Novel, Action, Adventure, Harem, 25-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.44
39026, Finished Airing, AT-X, Funimation, Web-manga, Comedy, Ecchi, Slice of Life, 24-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.58
39030, Currently Airing, AT-X, Estudio-nao-listado, Manga, Comedy, Fantasy, Shounen, 24-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.06
39038, Finished Airing, Anon-Pictures, Estudio-nao-listado, Original, Music, Parody, Super Power, 2-min., G---All-Ages, 1, 5.01
39071, Finished Airing, Pony-Canyon, J.C.-Staff, 4-koma-manga, Comedy, Magic, Slice of Life, 24-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.79
39178, Finished Airing, Tencent-Penguin-Pictures, Estudio-nao-listado, Novel, Action, Adventure, Demons, 25-min.-per-ep., PG-13---Teens-13-or-older, 3, 7.37
39188, Finished Airing, iQIYI, Estudio-nao-listado, Novel, Action, Comedy, Drama, 13-min.-per-ep., PG-13---Teens-13-or-older, 13, 6.86
39195, Currently Airing, Movic, Estudio-nao-listado, Manga, Drama, Psychological, Shounen, 22-min., None, ?, 8.14
39196, Currently Airing, NHK, Estudio-nao-listado, Manga, Comedy, Demons, Supernatural, 23-min.-per-ep., None, 23, 7.67
39198, Finished Airing, AT-X, Lerche, Manga, Sci-Fi, Adventure, Space, 24-min.-per-ep., PG-13---Teens-13-or-older, 12, 8.26
39199, Finished Airing, Kodansha, Estudio-nao-listado, Manga, Action, Drama, Fantasy, 23-min.-per-ep., R---17+-(violence-&amp;-profanity), 12, 6.54
39214, Finished Airing, NHK, Estudio-nao-listado, Original, Music, Slice of Life, Kids, 2-min., G---All-Ages, 1, 5.33
39221, Finished Airing, TV-Tokyo, Production-I.G, Original, Action, Demons, Supernatural, 24-min.-per-ep., PG-13---Teens-13-or-older, 12, 6.13
39326, Finished Airing, AT-X, Estudio-nao-listado, Light-novel, Comedy, Ecchi, Harem, 23-min.-per-ep., PG-13---Teens-13-or-older, 12, 6.79
39380, Finished Airing, bilibili, Estudio-nao-listado, Web-manga, Slice of Life, Comedy, Shounen Ai, 3-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.33
39417, Finished Airing, Infinite, Estudio-nao-listado, Original, Fantasy, Magic, Mecha, 24-min.-per-ep., PG-13---Teens-13-or-older, 13, 7.01
39456, Finished Airing, Nihon-Ad-Systems, Estudio-nao-listado, Manga, Adventure, Comedy, Seinen, 13-min.-per-ep., PG-13---Teens-13-or-older, 12, 6.77
39527, Finished Airing, Nippon-Television-Network, Gonzo, Manga, Sports, School, Josei, 22-min.-per-ep., PG-13---Teens-13-or-older, 12, 4.75
39533, Finished Airing, Aniplex, Aniplex, Manga, Drama, Music, Romance, 22-min.-per-ep., PG-13---Teens-13-or-older, 11, 8.23
39539, Currently Airing, Sony-Pictures-Entertainment, Madhouse-Inc., Manga, Action, Sci-Fi, Drama, 24-min.-per-ep., None, 12, 7.16
39567, Currently Airing, Frontier-Works, Estudio-nao-listado, Original, Action, Fantasy, Police, 23-min.-per-ep., None, 12, 6.18
39570, Currently Airing, Magic-Capsule, J.C.-Staff, Manga, Game, Comedy, Romance, Unknown, PG-13---Teens-13-or-older, 9, 8.07
39597, Currently Airing, Aniplex, A-1-Pictures, Light-novel, Action, Adventure, Fantasy, 23-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.88
39651, Finished Airing, Warner-Bros.-Japan, Bones, Original, Action, Slice of Life, Comedy, 24-min., PG-13---Teens-13-or-older, 1, 7.60
39674, Currently Airing, Sunrise, Sunrise, Unknown, Sci-Fi, Space, Comedy, 2-min., G---All-Ages, ?, 6.52
39675, Currently Airing, bilibili, Estudio-nao-listado, Original, Action, Sci-Fi, Horror, 30-min.-per-ep., R---17+-(violence-&amp;-profanity), 12, 6.78
39795, Currently Airing, Majin, Estudio-nao-listado, Game, Hentai, Demons, Magic, 16-min., Rx---Hentai, ?, 7.05
39799, Currently Airing, Square-Enix, Estudio-nao-listado, Manga, Harem, Comedy, Supernatural, 23-min.-per-ep., None, 12, 5.57
39800, Finished Airing, T-Rex, Estudio-nao-listado, Manga, Harem, Hentai, Sports, 16-min.-per-ep., Rx---Hentai, 2, 7.12
39806, Currently Airing, Pony-Canyon, Estudio-nao-listado, Manga, Action, Adventure, Historical, 23-min.-per-ep., None, 24, 7.30
39836, Finished Airing, TV-Tokyo, Estudio-nao-listado, Original, Dementia, Horror, Supernatural, 4-min.-per-ep., PG-13---Teens-13-or-older, 13, 5.85
39963, Finished Airing, Studio-Mausu, Estudio-nao-listado, Web-manga, Comedy, Ecchi, Romance, 3-min.-per-ep., R+---Mild-Nudity, 8, 5.76
39991, Finished Airing, XFLAG, Estudio-nao-listado, Original, Action, Sci-Fi, Super Power, 10-min., PG-13---Teens-13-or-older, 1, 6.81
